Prenda;Temporada;ColorPrenda;Id
Falda;Primavera;A;183
Chaqueta;Primavera;A;152
Falda;Verano;A;186
Falda;Verano;C;31
Blusa;Otoño;A;133
Camisa;Invierno;B;46
Pantalón;Verano;B;119
Chaqueta;Invierno;A;10
Blusa;Primavera;B;168
Camisa;Verano;A;3
Falda;Primavera;B;134
Pantalón;Otoño;C;1
Falda;Primavera;A;63
Camisa;Invierno;B;67
Blusa;Invierno;C;76
Chaqueta;Otoño;A;89
Pantalón;Primavera;B;37
Pantalón;Primavera;A;194
Blusa;Primavera;A;177
Falda;Invierno;A;102
Falda;Otoño;A;119
Chaqueta;Invierno;A;129
Chaqueta;Primavera;B;11
Chaqueta;Otoño;B;131
Pantalón;Primavera;B;183
Pantalón;Otoño;C;76
Camisa;Primavera;C;152
Blusa;Otoño;A;131
Chaqueta;Verano;A;27
Blusa;Verano;B;43
Camisa;Invierno;B;15
Chaqueta;Primavera;A;145
Chaqueta;Otoño;C;5
Falda;Primavera;B;124
Chaqueta;Invierno;C;133
Camisa;Verano;A;13
Camisa;Otoño;B;66
Chaqueta;Primavera;A;138
Blusa;Verano;C;56
Pantalón;Invierno;C;126
Chaqueta;Primavera;A;178
Chaqueta;Primavera;B;93
Camisa;Verano;B;143
Chaqueta;Invierno;A;98
Chaqueta;Verano;A;200
Camisa;Primavera;A;96
Blusa;Primavera;B;178
Falda;Primavera;B;154
Pantalón;Primavera;C;166
Blusa;Primavera;A;168
Falda;Invierno;B;52
Chaqueta;Verano;A;116
Pantalón;Verano;B;140
Chaqueta;Otoño;C;159
Pantalón;Otoño;B;139
Chaqueta;Otoño;A;158
Camisa;Invierno;B;118
Pantalón;Verano;A;94
Falda;Verano;C;190
Blusa;Invierno;C;23
Pantalón;Invierno;C;157
Blusa;Otoño;A;84
Falda;Primavera;C;167
Camisa;Otoño;A;160
Chaqueta;Otoño;A;189
Camisa;Verano;B;152
Blusa;Primavera;B;73
Pantalón;Invierno;A;66
Camisa;Verano;B;145
Chaqueta;Verano;A;48
Chaqueta;Primavera;A;10
Chaqueta;Primavera;B;129
Pantalón;Invierno;A;192
Blusa;Invierno;A;137
Blusa;Invierno;B;90
Falda;Otoño;B;102
Camisa;Verano;A;122
Camisa;Otoño;A;59
Falda;Primavera;A;128
Pantalón;Verano;A;33
Blusa;Invierno;A;20
Blusa;Primavera;C;195
Camisa;Invierno;A;160
Pantalón;Invierno;C;189
Chaqueta;Otoño;A;62
Falda;Invierno;B;119
Camisa;Invierno;B;94
Blusa;Otoño;B;5
Camisa;Primavera;C;85
Blusa;Verano;C;127
Blusa;Primavera;B;13
Falda;Primavera;A;122
Pantalón;Verano;C;84
Falda;Invierno;C;102
Pantalón;Otoño;A;130
Chaqueta;Verano;B;59
Falda;Verano;C;164
Camisa;Otoño;B;88
Camisa;Otoño;C;33
Falda;Otoño;B;131
Chaqueta;Invierno;B;46
Chaqueta;Primavera;C;29
Falda;Verano;A;158
Pantalón;Verano;C;44
Chaqueta;Verano;C;190
Falda;Verano;C;103
Camisa;Verano;B;139
Pantalón;Invierno;A;115
Falda;Otoño;C;145
Camisa;Primavera;B;58
Blusa;Otoño;B;81
Falda;Otoño;B;112
Blusa;Otoño;B;198
Camisa;Verano;A;50
Pantalón;Invierno;B;70
Blusa;Primavera;A;99
Falda;Otoño;B;107
Falda;Primavera;A;90
Camisa;Verano;B;119
Camisa;Verano;A;31
Pantalón;Primavera;A;101
Falda;Primavera;B;171
Falda;Otoño;B;12
Camisa;Primavera;C;76
Chaqueta;Primavera;A;128
Pantalón;Invierno;A;73
Falda;Primavera;A;111
Camisa;Otoño;B;164
Chaqueta;Primavera;A;98
Camisa;Otoño;A;21
Pantalón;Otoño;A;118
Chaqueta;Primavera;B;139
Chaqueta;Primavera;C;172
Falda;Otoño;C;59
Chaqueta;Otoño;A;36
Pantalón;Primavera;C;106
Falda;Otoño;B;119
Camisa;Verano;B;2
Camisa;Primavera;B;109
Blusa;Otoño;C;6
Blusa;Verano;C;175
Chaqueta;Verano;B;25
Falda;Invierno;C;52
Falda;Primavera;A;189
Chaqueta;Invierno;A;194
Camisa;Primavera;C;65
Chaqueta;Invierno;A;45
Camisa;Verano;C;22
Pantalón;Primavera;C;118
Pantalón;Primavera;C;177
Pantalón;Primavera;A;193
Blusa;Primavera;B;150
Camisa;Otoño;C;156
Blusa;Otoño;A;82
Chaqueta;Otoño;A;159
Blusa;Verano;A;169
Pantalón;Otoño;A;26
Falda;Verano;C;152
Camisa;Verano;C;121
Chaqueta;Invierno;C;119
Falda;Verano;A;59
Chaqueta;Invierno;B;72
Pantalón;Verano;C;104
Camisa;Invierno;B;159
Pantalón;Verano;C;192
Camisa;Otoño;B;94
Camisa;Primavera;C;25
Camisa;Otoño;C;172
Camisa;Otoño;B;30
Pantalón;Invierno;A;40
Camisa;Invierno;A;4
Blusa;Verano;C;200
Camisa;Primavera;B;46
Pantalón;Invierno;C;159
Camisa;Invierno;B;123
Pantalón;Otoño;B;97
Chaqueta;Primavera;B;56
Blusa;Verano;C;42
Falda;Otoño;A;17
Blusa;Verano;C;114
Pantalón;Invierno;A;173
Pantalón;Verano;C;14
Camisa;Otoño;A;57
Blusa;Otoño;A;86
Falda;Otoño;B;103
Chaqueta;Otoño;B;120
Falda;Verano;C;94
Chaqueta;Otoño;B;98
Camisa;Invierno;B;77
Falda;Otoño;B;30
Falda;Otoño;B;161
Pantalón;Verano;C;138
Blusa;Otoño;C;173
Camisa;Verano;C;98
Falda;Otoño;B;147
Blusa;Verano;A;63
Falda;Invierno;B;116
Pantalón;Otoño;A;155
Pantalón;Verano;A;13
Falda;Otoño;B;177
Blusa;Verano;C;44
Camisa;Verano;B;105
Camisa;Primavera;A;132
Pantalón;Otoño;B;178
Falda;Primavera;B;52
Pantalón;Primavera;B;187
Blusa;Invierno;C;149
Pantalón;Invierno;A;121
Pantalón;Otoño;A;54
Blusa;Primavera;B;176
Falda;Invierno;B;17
Blusa;Verano;C;90
Chaqueta;Verano;C;37
Falda;Verano;C;72
Chaqueta;Invierno;C;190
Chaqueta;Otoño;B;14
Chaqueta;Verano;B;77
Blusa;Verano;B;50
Chaqueta;Otoño;C;40
Blusa;Otoño;B;195
Falda;Verano;A;145
Pantalón;Primavera;B;154
Camisa;Invierno;B;96
Falda;Verano;A;108
Blusa;Otoño;A;13
Camisa;Verano;C;57
Camisa;Otoño;B;135
Falda;Otoño;C;32
Blusa;Invierno;C;100
Chaqueta;Otoño;C;142
Pantalón;Invierno;B;138
Chaqueta;Invierno;C;31
Blusa;Verano;C;195
Pantalón;Verano;A;175
Falda;Invierno;C;122
Blusa;Otoño;B;41
Pantalón;Verano;C;98
Chaqueta;Otoño;C;150
Chaqueta;Otoño;C;15
Chaqueta;Primavera;B;195
Blusa;Verano;A;178
Camisa;Invierno;C;51
Chaqueta;Invierno;A;162
Camisa;Verano;A;90
Falda;Verano;B;62
Pantalón;Verano;B;169
Blusa;Primavera;B;117
Falda;Primavera;A;18
Falda;Invierno;A;26
Blusa;Otoño;A;38
Blusa;Otoño;C;176
Blusa;Primavera;C;56
Blusa;Verano;C;91
Blusa;Primavera;C;14
Camisa;Verano;B;175
Blusa;Verano;C;140
Chaqueta;Primavera;B;22
Falda;Primavera;C;165
Pantalón;Verano;C;86
Chaqueta;Otoño;B;91
Pantalón;Primavera;A;180
Falda;Otoño;B;16
Camisa;Invierno;A;19
Falda;Verano;C;22
Chaqueta;Primavera;A;75
Blusa;Otoño;C;72
Blusa;Invierno;B;20
Blusa;Verano;B;90
Camisa;Invierno;C;83
Falda;Invierno;B;32
Blusa;Verano;A;58
Camisa;Invierno;B;112
Chaqueta;Otoño;B;124
Blusa;Primavera;C;88
Pantalón;Invierno;B;89
Pantalón;Verano;C;87
Chaqueta;Otoño;A;63
Chaqueta;Verano;C;165
Chaqueta;Invierno;C;31
Blusa;Otoño;B;125
Falda;Invierno;A;138
Camisa;Invierno;A;192
Pantalón;Verano;B;83
Blusa;Invierno;C;30
Chaqueta;Invierno;B;44
Chaqueta;Verano;C;97
Camisa;Invierno;C;102
Falda;Otoño;C;74
Falda;Invierno;A;63
Pantalón;Invierno;B;175
Chaqueta;Primavera;A;99
Camisa;Verano;A;152
Camisa;Otoño;B;153
Pantalón;Primavera;C;190
Pantalón;Invierno;C;2
Camisa;Otoño;C;63
Falda;Invierno;A;162
Chaqueta;Otoño;A;155
Pantalón;Invierno;B;123
Pantalón;Verano;B;69
Blusa;Primavera;B;111
Falda;Primavera;A;27
Camisa;Primavera;A;51
Pantalón;Otoño;A;39
Blusa;Invierno;A;198
Blusa;Verano;C;63
Blusa;Otoño;B;52
Chaqueta;Primavera;C;155
Falda;Otoño;B;135
Camisa;Primavera;C;42
Chaqueta;Invierno;C;105
Blusa;Invierno;B;113
Chaqueta;Verano;A;12
Pantalón;Otoño;C;26
Pantalón;Primavera;C;140
Blusa;Primavera;B;135
Falda;Verano;C;119
Pantalón;Verano;A;45
Camisa;Invierno;B;102
Blusa;Verano;C;159
Camisa;Primavera;B;75
Pantalón;Invierno;B;154
Chaqueta;Verano;B;148
Falda;Verano;C;116
Blusa;Primavera;A;192
Camisa;Primavera;B;79
Pantalón;Invierno;A;46
Falda;Verano;B;138
Falda;Primavera;C;101
Blusa;Primavera;B;89
Camisa;Primavera;C;172
Camisa;Verano;C;137
Falda;Invierno;A;66
Falda;Invierno;C;181
Chaqueta;Primavera;A;14
Chaqueta;Verano;B;40
Chaqueta;Invierno;B;16
Blusa;Primavera;A;89
Blusa;Invierno;A;138
Pantalón;Otoño;B;122
Camisa;Verano;C;88
Blusa;Verano;B;80
Falda;Invierno;C;93
Chaqueta;Otoño;B;96
Chaqueta;Invierno;A;6
Pantalón;Invierno;A;21
Chaqueta;Otoño;C;98
Camisa;Primavera;C;20
Blusa;Otoño;A;80
Blusa;Primavera;C;94
Falda;Primavera;C;145
Falda;Otoño;B;6
Pantalón;Otoño;A;57
Blusa;Otoño;B;19
Falda;Invierno;C;168
Blusa;Invierno;B;199
Pantalón;Invierno;C;24
Blusa;Verano;A;98
Camisa;Otoño;B;17
Pantalón;Verano;C;41
Camisa;Otoño;B;42
Pantalón;Otoño;C;10
Pantalón;Invierno;A;112
Blusa;Invierno;C;90
Blusa;Invierno;C;108
Chaqueta;Otoño;B;175
Blusa;Otoño;A;148
Camisa;Verano;A;173
Pantalón;Verano;C;164
Blusa;Verano;C;93
Pantalón;Invierno;C;103
Pantalón;Otoño;A;8
Chaqueta;Primavera;B;40
Chaqueta;Verano;B;72
Pantalón;Verano;B;115
Falda;Invierno;A;143
Camisa;Verano;B;190
Pantalón;Primavera;C;19
Pantalón;Verano;B;161
Blusa;Primavera;C;12
Blusa;Primavera;A;138
Camisa;Invierno;A;159
Camisa;Otoño;B;19
Chaqueta;Verano;A;23
Chaqueta;Verano;B;174
Pantalón;Primavera;A;119
Falda;Otoño;A;87
Chaqueta;Otoño;C;28
Chaqueta;Otoño;A;3
Camisa;Verano;C;22
Pantalón;Otoño;A;91
Blusa;Invierno;B;155
Pantalón;Verano;A;65
Blusa;Invierno;A;89
Falda;Verano;B;52
Chaqueta;Otoño;C;40
Chaqueta;Otoño;B;26
Falda;Primavera;A;39
Falda;Verano;C;61
Pantalón;Otoño;A;112
Pantalón;Verano;B;90
Chaqueta;Verano;C;175
Blusa;Otoño;C;103
Pantalón;Otoño;B;69
Chaqueta;Invierno;B;192
Blusa;Verano;B;173
Pantalón;Invierno;C;200
Pantalón;Invierno;B;137
Falda;Invierno;A;53
Falda;Otoño;B;68
Camisa;Verano;B;129
Blusa;Otoño;A;141
Pantalón;Verano;B;57
Camisa;Primavera;A;183
Camisa;Otoño;A;136
Blusa;Otoño;C;157
Falda;Primavera;A;65
Blusa;Primavera;C;33
Falda;Verano;A;190
Chaqueta;Invierno;B;102
Camisa;Verano;C;133
Pantalón;Primavera;C;32
Chaqueta;Primavera;B;169
Falda;Invierno;C;34
Chaqueta;Invierno;B;67
Blusa;Otoño;A;170
Blusa;Verano;A;116
Pantalón;Primavera;A;192
Pantalón;Invierno;C;44
Chaqueta;Primavera;B;33
Falda;Primavera;B;75
Chaqueta;Primavera;C;64
Blusa;Invierno;A;169
Blusa;Primavera;A;26
Pantalón;Primavera;A;148
Pantalón;Primavera;A;99
Camisa;Verano;C;103
Pantalón;Otoño;B;120
Pantalón;Primavera;A;85
Pantalón;Invierno;A;62
Blusa;Otoño;A;19
Camisa;Verano;B;193
Chaqueta;Otoño;A;114
Camisa;Invierno;A;21
Camisa;Primavera;B;64
Falda;Verano;A;168
Blusa;Otoño;B;51
Pantalón;Otoño;A;70
Pantalón;Invierno;A;56
Pantalón;Primavera;B;102
Camisa;Invierno;C;85
Blusa;Invierno;C;61
Pantalón;Invierno;B;190
Falda;Invierno;C;33
Blusa;Verano;B;58
Chaqueta;Primavera;C;19
Chaqueta;Otoño;B;198
Chaqueta;Invierno;A;182
Blusa;Invierno;A;115
Blusa;Invierno;A;116
Camisa;Verano;A;33
Pantalón;Primavera;A;58
Camisa;Primavera;C;166
Blusa;Verano;C;157
Camisa;Otoño;C;159
Falda;Otoño;B;45
Camisa;Otoño;B;76
Blusa;Verano;B;145
Camisa;Primavera;B;82
Pantalón;Otoño;C;115
Chaqueta;Primavera;A;130
Pantalón;Primavera;B;65
Pantalón;Otoño;B;177
Pantalón;Otoño;A;46
Chaqueta;Invierno;A;110
Chaqueta;Otoño;C;124
Blusa;Primavera;C;73
Camisa;Verano;C;42
Chaqueta;Primavera;A;31
Chaqueta;Invierno;A;149
Pantalón;Primavera;A;178
Chaqueta;Otoño;C;91
Camisa;Primavera;C;24
Blusa;Verano;C;15
Falda;Verano;A;18
Falda;Primavera;B;172
Camisa;Verano;A;167
Blusa;Primavera;B;152
Camisa;Verano;B;142
Blusa;Invierno;C;152
Falda;Verano;B;166
Chaqueta;Otoño;C;64
Falda;Invierno;C;63
Chaqueta;Primavera;B;188
Chaqueta;Verano;A;53
Blusa;Invierno;A;161
Blusa;Invierno;A;196
Camisa;Primavera;B;80
Blusa;Verano;C;181
Chaqueta;Otoño;A;41
Chaqueta;Invierno;B;89
Falda;Primavera;C;162
Pantalón;Otoño;A;30
Camisa;Otoño;A;95
Falda;Otoño;A;148
Falda;Invierno;B;45
Falda;Verano;C;71
Falda;Otoño;A;15
Pantalón;Invierno;B;146
Falda;Otoño;B;75
Camisa;Verano;C;87
Pantalón;Verano;B;167
Falda;Verano;B;184
Falda;Verano;C;193
Blusa;Verano;A;177
Falda;Otoño;B;106
Falda;Invierno;A;7
Pantalón;Verano;A;167
Pantalón;Invierno;C;168
Camisa;Invierno;A;190
Camisa;Invierno;A;199
Pantalón;Verano;C;132
Camisa;Otoño;A;28
Blusa;Otoño;C;65
Camisa;Verano;A;15
Blusa;Verano;C;152
Pantalón;Otoño;C;92
Chaqueta;Primavera;A;108
Pantalón;Primavera;C;77
Blusa;Otoño;B;165
Falda;Verano;A;103
Falda;Invierno;A;102
Camisa;Verano;C;91
Chaqueta;Primavera;B;85
Falda;Verano;C;73
Chaqueta;Verano;C;191
Blusa;Otoño;A;85
Chaqueta;Otoño;C;81
Camisa;Verano;C;11
Blusa;Primavera;B;48
Falda;Primavera;B;39
Pantalón;Otoño;C;2
Blusa;Otoño;A;28
Chaqueta;Primavera;A;190
Falda;Primavera;A;99
Camisa;Invierno;C;53
Chaqueta;Verano;B;63
Falda;Verano;C;10
Camisa;Otoño;C;81
Chaqueta;Invierno;C;159
Camisa;Primavera;C;18
Blusa;Otoño;C;152
Falda;Invierno;C;69
Pantalón;Primavera;A;97
Falda;Verano;B;132
Pantalón;Otoño;C;22
Blusa;Primavera;A;35
Pantalón;Invierno;A;116
Falda;Verano;B;175
Pantalón;Invierno;C;196
Camisa;Invierno;A;75
Chaqueta;Otoño;C;153
Falda;Otoño;A;77
Falda;Primavera;C;77
Falda;Otoño;B;85
Falda;Verano;B;89
Chaqueta;Primavera;A;183
Blusa;Verano;B;128
Blusa;Otoño;C;61
Blusa;Verano;A;187
Pantalón;Otoño;C;125
Chaqueta;Invierno;A;25
Blusa;Primavera;B;59
Falda;Verano;B;65
Pantalón;Otoño;C;139
Blusa;Invierno;A;156
Pantalón;Verano;C;140
Falda;Verano;C;181
Blusa;Otoño;A;161
Blusa;Invierno;C;157
Chaqueta;Invierno;B;51
Camisa;Primavera;B;40
Camisa;Otoño;A;154
Chaqueta;Otoño;B;46
Falda;Primavera;B;81
Pantalón;Otoño;C;39
Falda;Otoño;C;136
Pantalón;Invierno;C;38
Camisa;Invierno;C;127
Chaqueta;Primavera;C;184
Camisa;Otoño;C;160
Falda;Primavera;A;162
Falda;Primavera;B;82
Blusa;Verano;C;35
Pantalón;Primavera;A;37
Falda;Otoño;A;26
Chaqueta;Invierno;C;139
Chaqueta;Otoño;B;41
Falda;Otoño;B;77
Camisa;Primavera;C;9
Blusa;Primavera;B;24
Falda;Verano;C;142
Pantalón;Otoño;B;95
Pantalón;Otoño;B;54
Blusa;Otoño;A;67
Blusa;Otoño;A;102
Falda;Verano;A;163
Camisa;Verano;A;24
Falda;Invierno;C;46
Falda;Invierno;C;82
Pantalón;Primavera;B;196
Falda;Primavera;A;104
Pantalón;Primavera;C;47
Camisa;Otoño;B;173
Camisa;Invierno;C;187
Pantalón;Invierno;C;164
Blusa;Verano;A;16
Camisa;Verano;A;123
Chaqueta;Otoño;A;67
Pantalón;Primavera;A;54
Pantalón;Otoño;C;140
Blusa;Primavera;A;126
Falda;Invierno;A;64
Falda;Invierno;A;52
Falda;Otoño;B;166
Camisa;Primavera;B;121
Pantalón;Primavera;B;70
Blusa;Verano;C;169
Chaqueta;Verano;C;110
Pantalón;Primavera;A;70
Falda;Otoño;C;19
Pantalón;Otoño;B;171
Blusa;Invierno;A;78
Blusa;Verano;B;19
Pantalón;Primavera;B;74
Chaqueta;Invierno;A;9
Pantalón;Verano;B;156
Pantalón;Otoño;A;15
Blusa;Primavera;B;52
Falda;Verano;B;92
Camisa;Otoño;C;112
Pantalón;Verano;A;39
Pantalón;Otoño;B;184
Chaqueta;Invierno;C;92
Blusa;Otoño;A;142
Pantalón;Otoño;C;150
Chaqueta;Primavera;C;74
Camisa;Primavera;C;132
Chaqueta;Primavera;B;3
Camisa;Otoño;C;136
Pantalón;Verano;C;102
Falda;Primavera;B;110
Blusa;Primavera;C;132
Blusa;Invierno;B;43
Camisa;Primavera;C;33
Blusa;Invierno;A;189
Camisa;Invierno;A;102
Falda;Otoño;B;165
Camisa;Verano;B;111
Camisa;Primavera;B;107
Blusa;Verano;C;152
Falda;Primavera;A;195
Chaqueta;Verano;A;136
Camisa;Otoño;A;50
Pantalón;Invierno;B;88
Pantalón;Invierno;A;152
Blusa;Invierno;C;24
Falda;Invierno;A;149
Chaqueta;Verano;B;10
Pantalón;Otoño;B;167
Blusa;Primavera;C;200
Chaqueta;Invierno;A;30
Pantalón;Verano;B;26
Blusa;Primavera;B;121
Pantalón;Primavera;A;65
Falda;Primavera;C;157
Pantalón;Verano;A;110
Pantalón;Primavera;A;124
Pantalón;Invierno;C;167
Pantalón;Primavera;A;120
Camisa;Otoño;A;182
Blusa;Primavera;A;115
Chaqueta;Invierno;C;177
Falda;Verano;B;97
Blusa;Primavera;C;56
Camisa;Verano;A;188
Pantalón;Invierno;C;165
Falda;Otoño;B;197
Camisa;Otoño;B;118
Pantalón;Invierno;A;165
Pantalón;Verano;C;21
Falda;Verano;A;167
Pantalón;Verano;B;11
Falda;Invierno;C;106
Chaqueta;Primavera;C;144
Falda;Verano;B;26
Blusa;Invierno;C;136
Camisa;Invierno;B;119
Chaqueta;Primavera;A;93
Chaqueta;Invierno;B;145
Blusa;Primavera;B;171
Falda;Verano;C;30
Camisa;Invierno;C;3
Pantalón;Otoño;B;171
Pantalón;Otoño;B;91
Blusa;Otoño;C;43
Camisa;Invierno;A;15
Chaqueta;Primavera;C;136
Blusa;Primavera;A;11
Chaqueta;Verano;C;14
Pantalón;Otoño;C;32
Pantalón;Verano;B;40
Blusa;Primavera;B;10
Falda;Primavera;A;169
Falda;Verano;C;95
Pantalón;Otoño;B;142
Camisa;Verano;B;181
Falda;Otoño;A;122
Chaqueta;Otoño;B;147
Camisa;Otoño;A;117
Falda;Primavera;B;105
Camisa;Invierno;A;58
Camisa;Verano;C;57
Chaqueta;Verano;C;87
Falda;Primavera;A;147
Camisa;Otoño;C;197
Pantalón;Invierno;A;164
Camisa;Otoño;C;116
Falda;Verano;A;15
Pantalón;Invierno;C;36
Camisa;Verano;A;184
Chaqueta;Invierno;C;80
Chaqueta;Invierno;B;175
Blusa;Verano;C;110
Falda;Otoño;B;25
Blusa;Otoño;B;67
Blusa;Primavera;A;63
Pantalón;Invierno;A;99
Pantalón;Primavera;C;113
Chaqueta;Invierno;A;46
Chaqueta;Invierno;A;185
Pantalón;Primavera;A;153
Blusa;Otoño;C;120
Blusa;Otoño;B;90
Camisa;Otoño;B;120
Camisa;Otoño;A;158
Chaqueta;Invierno;C;103
Chaqueta;Primavera;C;52
Falda;Primavera;B;134
Falda;Otoño;A;76
Pantalón;Verano;C;85
Camisa;Otoño;A;95
Falda;Verano;C;183
Blusa;Otoño;B;14
Blusa;Verano;A;53
Falda;Otoño;A;73
Chaqueta;Otoño;A;45
Falda;Invierno;A;54
Blusa;Primavera;B;104
Camisa;Invierno;C;188
Camisa;Primavera;A;72
Blusa;Primavera;C;155
Chaqueta;Verano;A;181
Falda;Invierno;C;120
Falda;Verano;B;74
Blusa;Invierno;A;78
Pantalón;Verano;B;82
Pantalón;Invierno;A;151
Blusa;Verano;B;37
Falda;Otoño;C;156
Camisa;Verano;B;9
Camisa;Primavera;A;121
Pantalón;Invierno;A;104
Falda;Verano;B;197
Pantalón;Invierno;A;189
Chaqueta;Verano;B;179
Pantalón;Verano;A;177
Blusa;Invierno;A;99
Blusa;Invierno;B;197
Blusa;Primavera;B;192
Blusa;Invierno;A;53
Blusa;Otoño;B;32
Camisa;Verano;A;128
Blusa;Invierno;A;97
Camisa;Otoño;C;118
Camisa;Primavera;A;62
Chaqueta;Invierno;A;69
Camisa;Otoño;B;200
Falda;Primavera;B;167
Pantalón;Verano;A;104
Chaqueta;Primavera;A;3
Chaqueta;Otoño;C;96
Chaqueta;Primavera;A;173
Pantalón;Invierno;A;64
Chaqueta;Invierno;B;157
Blusa;Primavera;A;73
Camisa;Primavera;B;69
Blusa;Verano;B;89
Falda;Verano;C;157
Pantalón;Primavera;B;21
Camisa;Otoño;B;175
Falda;Otoño;C;77
Pantalón;Primavera;A;14
Chaqueta;Otoño;C;114
Camisa;Otoño;A;120
Pantalón;Otoño;C;74
Chaqueta;Otoño;B;164
Pantalón;Primavera;A;109
Falda;Verano;C;2
Blusa;Verano;A;35
Falda;Invierno;A;68
Pantalón;Verano;B;147
Blusa;Primavera;C;95
Camisa;Primavera;C;56
Chaqueta;Verano;A;124
Pantalón;Invierno;A;190
Camisa;Otoño;C;57
Chaqueta;Invierno;A;107
Chaqueta;Invierno;A;43
Blusa;Otoño;A;53
Pantalón;Invierno;B;167
Falda;Otoño;B;74
Blusa;Otoño;B;56
Pantalón;Verano;A;64
Chaqueta;Primavera;B;107
Chaqueta;Verano;A;102
Falda;Verano;C;9
Chaqueta;Otoño;C;195
Pantalón;Invierno;B;43
Chaqueta;Verano;B;52
Pantalón;Verano;C;194
Blusa;Otoño;B;47
Camisa;Invierno;B;47
Falda;Otoño;B;137
Chaqueta;Invierno;B;3
Camisa;Otoño;B;179
Chaqueta;Verano;A;25
Camisa;Invierno;C;42
Chaqueta;Primavera;B;69
Chaqueta;Primavera;C;101
Camisa;Otoño;A;147
Pantalón;Otoño;C;78
Falda;Invierno;B;146
Camisa;Otoño;B;113
Chaqueta;Invierno;A;18
Blusa;Verano;B;3
Falda;Verano;B;33
Falda;Verano;C;118
Camisa;Primavera;A;54
Falda;Invierno;C;38
Chaqueta;Invierno;C;193
Falda;Invierno;A;10
Chaqueta;Invierno;C;176
Camisa;Invierno;C;127
Falda;Primavera;B;167
Camisa;Otoño;A;28
Camisa;Invierno;C;158
Blusa;Primavera;A;152
Pantalón;Invierno;B;140
Blusa;Verano;B;57
Pantalón;Otoño;B;65
Blusa;Primavera;B;198
Pantalón;Verano;A;39
Blusa;Invierno;A;40
Chaqueta;Otoño;A;106
Pantalón;Otoño;B;121
Chaqueta;Invierno;C;2
Blusa;Verano;A;158
Blusa;Primavera;C;87
Pantalón;Invierno;B;153
Falda;Invierno;C;9
Pantalón;Primavera;A;37
Chaqueta;Primavera;A;196
Falda;Primavera;A;93
Pantalón;Invierno;B;137
Falda;Otoño;B;165
Falda;Verano;B;55
Pantalón;Invierno;A;163
Pantalón;Verano;A;57
Camisa;Otoño;B;132
Chaqueta;Otoño;A;78
Falda;Primavera;B;91
Pantalón;Verano;B;51
Pantalón;Invierno;B;137
Blusa;Invierno;B;159
Falda;Primavera;A;7
Pantalón;Primavera;C;5
Camisa;Invierno;B;100
Falda;Invierno;A;140
Falda;Primavera;B;59
Camisa;Primavera;A;138
Falda;Invierno;B;35
Camisa;Otoño;C;200
Camisa;Otoño;A;114
Blusa;Primavera;B;5
Pantalón;Verano;B;35
Chaqueta;Invierno;C;43
Chaqueta;Otoño;A;74
Falda;Verano;C;35
Camisa;Verano;C;40
